dt,dag_id
2025-03-07,dag_with_postgres_operator_v03
2025-03-08,dag_with_postgres_operator_v03
2025-03-09,dag_with_postgres_operator_v03
2025-03-10,dag_with_postgres_operator_v03
2025-03-11,dag_with_postgres_operator_v03
2025-03-12,dag_with_postgres_operator_v03
2025-03-13,dag_with_postgres_operator_v03
2025-03-14,dag_with_postgres_operator_v03
2025-03-15,dag_with_postgres_operator_v03
2025-03-16,dag_with_postgres_operator_v03
2025-03-17,dag_with_postgres_operator_v03
2025-03-18,dag_with_postgres_operator_v03
